r,U
46.9,-2.7399993724672396e-13
47.0,-2.7052061870910994e-13
47.1,-2.6709273600036637e-13
47.2,-2.6371542193457295e-13
47.3,-2.6038782573911735e-13
47.4,-2.5710911271024715e-13
47.5,-2.5387846387655576e-13
47.6,-2.506950756702045e-13
47.7,-2.4755815960568717e-13
47.8,-2.444669419659473e-13
47.9,-2.414206634956671e-13
48.0,-2.384185791015482e-13
48.1,-2.354599575594118e-13
48.2,-2.325440812279469e-13
48.3,-2.29670245768946e-13
48.4,-2.2683775987386424e-13
48.5,-2.2404594499655096e-13
48.6,-2.2129413509199704e-13
48.7,-2.1858167636095396e-13
48.8,-2.1590792700028024e-13
48.9,-2.132722569588742e-13
49.0,-2.1067404769905876e-13
49.1,-2.0811269196328493e-13
49.2,-2.0558759354602322e-13
49.3,-2.030981670707214e-13
49.4,-2.0064383777170085e-13
49.5,-1.9822404128087774e-13
49.6,-1.9583822341918887e-13
49.7,-1.9348583999261117e-13
49.8,-1.9116635659266421e-13
49.9,-1.8887924840128754e-13
50.0,-1.8662399999999132e-13
50.1,-1.8440010518317396e-13
50.2,-1.8220706677551206e-13
50.3,-1.8004439645332284e-13
50.4,-1.779116145698057e-13
50.5,-1.7580824998407338e-13
50.6,-1.7373383989387943e-13
50.7,-1.716879296719588e-13
50.8,-1.69670072705893e-13
50.9,-1.676798302414204e-13
51.0,-1.6571677122910902e-13
51.1,-1.6378047217431367e-13
51.2,-1.6187051699034113e-13
51.3,-1.5998649685474867e-13
51.4,-1.58128010068702e-13
51.5,-1.5629466191932423e-13
51.6,-1.5448606454496365e-13
51.7,-1.5270183680331515e-13
51.8,-1.5094160414232843e-13
51.9,-1.492049984738384e-13
52.0,-1.4749165804985725e-13
52.1,-1.4580122734146482e-13
52.2,-1.4413335692023943e-13
52.3,-1.4248770334217042e-13
52.4,-1.408639290339953e-13
52.5,-1.3926170218190914e-13
52.6,-1.3768069662258776e-13
52.7,-1.361205917364768e-13
52.8,-1.345810723432919e-13
52.9,-1.3306182859968258e-13
53.0,-1.3156255589900984e-13
53.1,-1.3008295477319026e-13
53.2,-1.286227307965594e-13
53.3,-1.27181594491711e-13
53.4,-1.2575926123726585e-13
53.5,-1.2435545117752892e-13
53.6,-1.229698891339914e-13
53.7,-1.2160230451863701e-13
53.8,-1.2025243124901336e-13
53.9,-1.189200076650274e-13
54.0,-1.176047764474291e-13
54.1,-1.16306484537944e-13
54.2,-1.150248830610199e-13
54.3,-1.137597272471511e-13
54.4,-1.1251077635774589e-13
54.5,-1.1127779361150365e-13
54.6,-1.1006054611226911e-13
54.7,-1.0885880477832922e-13
54.8,-1.0767234427312429e-13
54.9,-1.0650094293734021e-13
55.0,-1.0534438272235333e-13
55.1,-1.042024491249975e-13
55.2,-1.0307493112362507e-13
55.3,-1.0196162111543453e-13
55.4,-1.008623148550365e-13
55.5,-9.977681139423212e-14
55.6,-9.870491302297722e-14
55.7,-9.76464252115074e-14
55.8,-9.66011565535989e-14
55.9,-9.556891871094036e-14
56.0,-9.45495263585941e-14
56.1,-9.354279713151959e-14
56.2,-9.254855157214113e-14
56.3,-9.156661307893436e-14
56.4,-9.059680785601065e-14
56.5,-8.963896486368032e-14
56.6,-8.869291576997047e-14
56.7,-8.775849490308085e-14
56.8,-8.683553920475512e-14
56.9,-8.592388818455061e-14
57.0,-8.502338387498609e-14
57.1,-8.41338707875503e-14
57.2,-8.32551958695521e-14
57.3,-8.238720846179639e-14
57.4,-8.1529760257066e-14
57.5,-8.068270525939661e-14
57.6,-7.984589974412377e-14
57.7,-7.90192022186897e-14
57.8,-7.820247338419254e-14
57.9,-7.73955760976624e-14
58.0,-7.659837533505034e-14
58.1,-7.581073815491497e-14
58.2,-7.503253366279234e-14
58.3,-7.426363297623498e-14
58.4,-7.350390919050699e-14
58.5,-7.275323734492167e-14
58.6,-7.201149438980738e-14
58.7,-7.127855915409092e-14
58.8,-7.055431231348403e-14
58.9,-6.983863635926162e-14
59.0,-6.913141556762004e-14
59.1,-6.843253596960296e-14
59.2,-6.774188532158341e-14
59.3,-6.70593530762917e-14
59.4,-6.638483035437704e-14
59.5,-6.571820991649312e-14
59.6,-6.505938613589651e-14
59.7,-6.440825497154772e-14
59.8,-6.37647139417055e-14
59.9,-6.312866209800309e-14
60.0,-6.249999999999904e-14
60.1,-6.187862969019062e-14
60.2,-6.126445466948288e-14
60.3,-6.065737987310266e-14
60.4,-6.005731164694989e-14
60.5,-5.946415772437671e-14
60.6,-5.887782720338705e-14
60.7,-5.829823052424654e-14
60.8,-5.772527944749712e-14
60.9,-5.715888703236614e-14
61.0,-5.65989676155637e-14
61.1,-5.604543679046022e-14
61.2,-5.5498211386636226e-14
61.3,-5.495720944979828e-14
61.4,-5.4422350222052584e-14
61.5,-5.3893554122530794e-14
61.6,-5.337074272835937e-14
61.7,-5.285383875596781e-14
61.8,-5.234276604272774e-14
61.9,-5.183744952891673e-14
62.0,-5.1337815240001724e-14
62.1,-5.084379026923387e-14
62.2,-5.035530276055092e-14
62.3,-4.987228189177966e-14
62.4,-4.9394657858133526e-14
62.5,-4.892236185599937e-14
62.6,-4.845532606700843e-14
62.7,-4.7993483642384805e-14
62.8,-4.753676868756782e-14
62.9,-4.7085116247101787e-14
63.0,-4.663846228978866e-14
63.1,-4.6196743694098516e-14
63.2,-4.5759898233832987e-14
63.3,-4.5327864564036785e-14
63.4,-4.490058220715251e-14
63.5,-4.447799153941501e-14
63.6,-4.406003377747929e-14
63.7,-4.364665096527904e-14
63.8,-4.3237785961110566e-14
63.9,-4.28333824249382e-14
64.0,-4.243338480591728e-14
64.1,-4.203773833013018e-14
64.2,-4.164638898853158e-14
64.3,-4.1259283525099615e-14
64.4,-4.087636942518782e-14
64.5,-4.0497594904076106e-14
64.6,-4.012290889571457e-14
64.7,-3.975226104165914e-14
64.8,-3.938560168019365e-14
64.9,-3.902288183563567e-14
65.0,-3.866405320782283e-14
65.1,-3.830906816177591e-14
65.2,-3.7957879717535636e-14
65.3,-3.76104415401704e-14
65.4,-3.7266707929950623e-14
65.5,-3.692663381268864e-14
65.6,-3.6590174730238643e-14
65.7,-3.625728683115613e-14
65.8,-3.592792686151256e-14
65.9,-3.56020521558624e-14
66.0,-3.527962062836077e-14
66.1,-3.496059076402778e-14
66.2,-3.4644921610157836e-14
66.3,-3.4332572767870984e-14
66.4,-3.4023504383803124e-14
66.5,-3.371767714193405e-14
66.6,-3.3415052255549205e-14
66.7,-3.3115591459333706e-14
66.8,-3.281925700159642e-14
66.9,-3.252601163662086e-14
67.0,-3.2235818617141795e-14
67.1,-3.194864168694393e-14
67.2,-3.166444507358229e-14
67.3,-3.138319348122036e-14
67.4,-3.1104852083584936e-14
67.5,-3.082938651703552e-14
67.6,-3.055676287374571e-14
67.7,-3.028694769499536e-14
67.8,-3.0019907964571025e-14
67.9,-2.975561110227265e-14
68.0,-2.9494024957525536e-14
68.1,-2.9235117803094315e-14
68.2,-2.897885832889862e-14
68.3,-2.8725215635927816e-14
68.4,-2.8474159230252834e-14
68.5,-2.822565901713443e-14
68.6,-2.797968529522516e-14
68.7,-2.773620875086388e-14
68.8,-2.7495200452461442e-14
68.9,-2.7256631844975276e-14
69.0,-2.7020474744472088e-14
69.1,-2.6786701332776567e-14
69.2,-2.6555284152204956e-14
69.3,-2.632619610038205e-14
69.4,-2.6099410425139605e-14
69.5,-2.5874900719495826e-14
69.6,-2.565264091671332e-14
69.7,-2.5432605285435188e-14
69.8,-2.5214768424897318e-14
69.9,-2.4999105260215672e-14
70.0,-2.478559103774773e-14
70.1,-2.457420132052578e-14
70.2,-2.4364911983762307e-14
70.3,-2.415769921042499e-14
70.4,-2.3952539486880478e-14
70.5,-2.374940959860646e-14
70.6,-2.3548286625969642e-14
70.7,-2.334914794006962e-14
70.8,-2.3151971198647037e-14
70.9,-2.2956734342054776e-14
71.0,-2.276341558929168e-14
71.1,-2.2571993434097114e-14
71.2,-2.2382446641105752e-14
71.3,-2.219475424206175e-14
71.4,-2.200889553209055e-14
71.5,-2.1824850066028216e-14
71.6,-2.16425976548068e-14
71.7,-2.1462118361895053e-14
71.8,-2.1283392499793435e-14
71.9,-2.1106400626582447e-14
72.0,-2.0931123542523893e-14
72.1,-2.0757542286713215e-14
72.2,-2.0585638133783237e-14
72.3,-2.041539259065761e-14
72.4,-2.024678739335329e-14
72.5,-2.0079804503831723e-14
72.6,-1.9914426106897205e-14
72.7,-1.9750634607142265e-14
72.8,-1.9588412625938977e-14
72.9,-1.9427742998475335e-14
73.0,-1.9268608770836523e-14
73.1,-1.911099319712952e-14
73.2,-1.8954879736651036e-14
73.3,-1.880025205109784e-14
73.4,-1.8647094001818442e-14
73.5,-1.8495389647106176e-14
73.6,-1.8345123239532287e-14
73.7,-1.8196279223318803e-14
73.8,-1.804884223175051e-14
73.9,-1.790279708462509e-14
74.0,-1.77581287857414e-14
74.1,-1.7614822520424473e-14
74.2,-1.7472863653087454e-14
74.3,-1.733223772482936e-14
74.4,-1.7192930451068103e-14
74.5,-1.7054927719208656e-14
74.6,-1.6918215586345255e-14
74.7,-1.6782780276997302e-14
74.8,-1.66486081808787e-14
74.9,-1.6515685850699462e-14
75.0,-1.6383999999999935e-14
75.1,-1.6253537501016088e-14
75.2,-1.612428538257641e-14
75.3,-1.5996230828029173e-14
75.4,-1.586936117319981e-14
75.5,-1.5743663904378198e-14
75.6,-1.561912665633474e-14
75.7,-1.5495737210365608e-14
75.8,-1.5373483492365956e-14
75.9,-1.5252353570931035e-14
76.0,-1.5132335655484854e-14
76.1,-1.501341809443554e-14
76.2,-1.4895589373357435e-14
76.3,-1.4778838113199317e-14
76.4,-1.4663153068518197e-14
76.5,-1.4548523125738514e-14
76.6,-1.4434937301436294e-14
76.7,-1.4322384740647695e-14
76.8,-1.4210854715201953e-14
76.9,-1.410033662207771e-14
77.0,-1.3990819981783179e-14
77.1,-1.3882294436758976e-14
77.2,-1.3774749749803898e-14
77.3,-1.3668175802522888e-14
77.4,-1.3562562593797002e-14
77.5,-1.3457900238275135e-14
77.6,-1.3354178964886835e-14
77.7,-1.3251389115376337e-14
77.8,-1.3149521142857165e-14
77.9,-1.3048565610386982e-14
78.0,-1.2948513189562664e-14
78.1,-1.2849354659134944e-14
78.2,-1.2751080903642502e-14
78.3,-1.2653682912065342e-14
78.4,-1.2557151776496713e-14
78.5,-1.2461478690833892e-14
78.6,-1.2366654949486961e-14
78.7,-1.227267194610576e-14
78.8,-1.2179521172324533e-14
78.9,-1.2087194216523858e-14
79.0,-1.1995682762610024e-14
79.1,-1.1904978588811065e-14
79.2,-1.1815073566489628e-14
79.3,-1.1725959658972286e-14
79.4,-1.1637628920394807e-14
79.5,-1.1550073494563628e-14
79.6,-1.1463285613832757e-14
79.7,-1.1377257597996313e-14
79.8,-1.1291981853196218e-14
79.9,-1.1207450870844835e-14
80.0,-1.1123657226562466e-14
80.1,-1.1040593579129282e-14
80.2,-1.0958252669451698e-14
80.3,-1.087662731954281e-14
80.4,-1.079571043151669e-14
80.5,-1.0715494986596525e-14
80.6,-1.0635974044136039e-14
80.7,-1.0557140740654412e-14
80.8,-1.0478988288884198e-14
80.9,-1.040150997683214e-14
81.0,-1.0324699166852757e-14
81.1,-1.0248549294734408e-14
81.2,-1.0173053868797703e-14
81.3,-1.009820646900613e-14
81.4,-1.0024000746088574e-14
81.5,-9.950430420673739e-15
81.6,-9.877489282436102e-15
81.7,-9.805171189253428e-15
81.8,-9.733470066375528e-15
81.9,-9.662379905604113e-15
82.0,-9.591894764483732e-15
82.1,-9.522008765503376e-15
82.2,-9.452716095308808e-15
82.3,-9.384011003925442e-15
82.4,-9.315887803991428e-15
82.5,-9.248340870001067e-15
82.6,-9.181364637558162e-15
82.7,-9.114953602639342e-15
82.8,-9.04910232086716e-15
82.9,-8.983805406792684e-15
83.0,-8.91905753318774e-15
83.1,-8.85485343034635e-15
83.2,-8.79118788539543e-15
83.3,-8.728055741614637e-15
83.4,-8.665451897765002e-15
83.5,-8.603371307426546e-15
83.6,-8.541808978344452e-15
83.7,-8.480759971783895e-15
83.8,-8.420219401893292e-15
83.9,-8.360182435075808e-15
84.0,-8.300644289369207e-15
84.1,-8.241600233833647e-15
84.2,-8.183045587947522e-15
84.3,-8.124975721011195e-15
84.4,-8.067386051558374e-15
84.5,-8.010272046775236e-15
84.6,-7.953629221927026e-15
84.7,-7.897453139792076e-15
84.8,-7.841739410103199e-15
84.9,-7.786483688996191e-15
85.0,-7.731681678465614e-15
85.1,-7.677329125827402e-15
85.2,-7.623421823188526e-15
